Participant,Device,Method,Size,Angle
P4,Normal,Clipped,Half,1.0926
P4,Normal,Clipped,Half,0.6024
P4,Normal,Clipped,Half,0.4755
P4,Normal,Clipped,Half,0.2253
P4,Normal,Clipped,Half,0
P4,Normal,Clipped,Half,0.8135
P4,Normal,Normal,ThreeQuarters,0.186
P4,Normal,Normal,ThreeQuarters,1.4281
P4,Normal,Normal,ThreeQuarters,2.0718
P4,Normal,Normal,ThreeQuarters,3.1701
P4,Normal,Normal,ThreeQuarters,0.3174
P4,Normal,Normal,ThreeQuarters,0.907
P4,Normal,Normal,ThreeQuarters,2.6224
P4,Normal,Normal,ThreeQuarters,1.0178
P4,Normal,Normal,ThreeQuarters,3.7769
P4,Normal,Clipped,ThreeQuarters,0.8881
P4,Normal,Clipped,ThreeQuarters,0.7114
P4,Normal,Clipped,ThreeQuarters,0.4796
P4,Normal,Clipped,ThreeQuarters,2.8003
P4,Normal,Clipped,ThreeQuarters,1.3153
P4,Normal,Clipped,ThreeQuarters,3.951
P4,Normal,Clipped,ThreeQuarters,0.0176
P4,Normal,Clipped,ThreeQuarters,2.4529
P4,Normal,Clipped,ThreeQuarters,1.5586
P4,Normal,Normal,Half,1.206
P4,Normal,Normal,Half,2.786
P4,Normal,Normal,Half,2.332
P4,Normal,Normal,Half,1.0912
P4,Normal,Normal,Half,0.4835
P4,Normal,Normal,Half,2.9767
P4,Normal,Normal,Half,3.145
P4,Normal,Normal,Half,0.7314
P4,Normal,Normal,Half,2.3504
P4,tPad,Normal,Quarter,1.6801
P4,tPad,Normal,Quarter,0.4554
P4,tPad,Normal,Quarter,0.6188
P4,tPad,Normal,Quarter,1.1572
P4,tPad,Normal,Quarter,1.0501
P4,tPad,Normal,Quarter,4.5905
P4,tPad,Normal,Quarter,3.0394
P4,tPad,Normal,Quarter,0.5888
P4,tPad,Normal,Quarter,2.1746
P4,Normal,Normal,Quarter,2.3695
P4,Normal,Normal,Quarter,1.1088
P4,Normal,Normal,Quarter,1.4203
P4,Normal,Normal,Quarter,1.9886
P4,Normal,Normal,Quarter,0.7774
P4,Normal,Normal,Quarter,1.8476
P4,Normal,Normal,Quarter,1.3322
P4,Normal,Normal,Quarter,4.3511
P4,tPad,Normal,Half,0.8219
P4,tPad,Normal,Half,1.7269
P4,tPad,Normal,Half,1.2332
P4,tPad,Normal,Half,0.9404
P4,tPad,Normal,Half,0.808
P4,tPad,Normal,Half,0.8001
P4,tPad,Normal,Half,2.2926
P4,tPad,Normal,Half,1.643
P4,tPad,Normal,Half,0.0533
P4,tPad,Clipped,ThreeQuarters,1.6312
P4,tPad,Clipped,ThreeQuarters,2.1507
P4,tPad,Clipped,ThreeQuarters,1.1679
P4,tPad,Clipped,ThreeQuarters,2.3978
P4,tPad,Clipped,ThreeQuarters,2.178
P4,tPad,Clipped,ThreeQuarters,0.2378
P4,tPad,Clipped,ThreeQuarters,1.1238
P4,tPad,Clipped,ThreeQuarters,0.5354
P4,tPad,Clipped,ThreeQuarters,3.9823
P4,tPad,Normal,ThreeQuarters,0.4614
P4,tPad,Normal,ThreeQuarters,1.089
P4,tPad,Normal,ThreeQuarters,0.0512
P4,tPad,Normal,ThreeQuarters,0.1517
P4,tPad,Normal,ThreeQuarters,2.0722
P4,tPad,Normal,ThreeQuarters,2.1502
P4,tPad,Normal,ThreeQuarters,0.6456
P4,tPad,Normal,ThreeQuarters,0.7087
P4,tPad,Normal,ThreeQuarters,1.3285
P4,tPad,Clipped,Half,6.794
P4,tPad,Clipped,Half,3.381
P4,tPad,Clipped,Half,0.0266
P4,tPad,Clipped,Half,2.5103
P4,tPad,Clipped,Half,4.4736
P4,tPad,Clipped,Half,4.3705
P4,tPad,Clipped,Half,0.4619
P4,tPad,Clipped,Half,2.4935
P4,tPad,Clipped,Half,0.3548
P4,tPad,Clipped,Quarter,2.8903
P4,tPad,Clipped,Quarter,10.9442
P4,tPad,Clipped,Quarter,4.1052
P4,tPad,Clipped,Quarter,3.7733
P4,tPad,Clipped,Quarter,0.1375
P4,tPad,Clipped,Quarter,2.8615
P4,tPad,Clipped,Quarter,0.8999
P4,tPad,Clipped,Quarter,0.5599
P4,tPad,Clipped,Quarter,3.1076
P5,Normal,Clipped,Half,0.5776
P5,Normal,Clipped,Half,1.4676
P5,Normal,Clipped,Half,1.319
P5,Normal,Clipped,Half,0.9853
P5,Normal,Clipped,Half,0.6716
P5,Normal,Clipped,Half,0.0734
P5,Normal,Clipped,Half,1.7243
P5,Normal,Clipped,Half,1.1013
P5,Normal,Clipped,Half,0.8887
P5,Normal,Clipped,ThreeQuarters,0.5973
P5,Normal,Clipped,ThreeQuarters,0.2714
P5,Normal,Clipped,ThreeQuarters,0.8225
P5,Normal,Clipped,ThreeQuarters,0.0167
P5,Normal,Clipped,ThreeQuarters,1.7086
P5,Normal,Clipped,ThreeQuarters,0.1328
P5,Normal,Clipped,ThreeQuarters,1.076
P5,Normal,Clipped,ThreeQuarters,1.5643
P5,Normal,Clipped,ThreeQuarters,3.9977
P5,Normal,Clipped,Quarter,0.8946
P5,Normal,Clipped,Quarter,1.8557
P5,Normal,Clipped,Quarter,0.234
P5,Normal,Clipped,Quarter,0
P5,Normal,Clipped,Quarter,3.3031
P5,Normal,Clipped,Quarter,0.9038
P5,Normal,Clipped,Quarter,1.5925
P5,Normal,Clipped,Quarter,1.1595
P5,Normal,Clipped,Quarter,0.8385
P5,tPad,Normal,Quarter,3.3814
P5,tPad,Normal,Quarter,1.7367
P5,tPad,Normal,Quarter,0.0267
P5,tPad,Normal,Quarter,0.1745
P5,tPad,Normal,Quarter,1.3774
P5,tPad,Normal,Quarter,0.3619
P5,tPad,Normal,Quarter,1.3204
P5,tPad,Normal,Quarter,2.2839
P5,tPad,Normal,Quarter,0.6074
P5,Normal,Normal,ThreeQuarters,0.7465
P5,Normal,Normal,ThreeQuarters,1.4424
P5,Normal,Normal,ThreeQuarters,0.7875
P5,Normal,Normal,ThreeQuarters,0.5563
P5,Normal,Normal,ThreeQuarters,0.9844
P5,Normal,Normal,ThreeQuarters,0.1206
P5,Normal,Normal,ThreeQuarters,0.5927
P5,Normal,Normal,ThreeQuarters,2.7263
P5,Normal,Normal,Half,0.3237
P5,Normal,Normal,Half,2.7927
P5,Normal,Normal,Half,0
P5,Normal,Normal,Half,1.9527
P5,Normal,Normal,Half,0.8343
P5,Normal,Normal,Half,0.8467
P5,Normal,Normal,Half,1.1751
P5,Normal,Normal,Half,4.8157
P5,Normal,Normal,Half,9.6118
P5,Normal,Normal,Quarter,0.9719
P5,Normal,Normal,Quarter,0.7162
P5,Normal,Normal,Quarter,0.8488
P5,Normal,Normal,Quarter,1.2018
P5,Normal,Normal,Quarter,3.9005
P5,Normal,Normal,Quarter,2.4628
P5,Normal,Normal,Quarter,2.583
P5,Normal,Normal,Quarter,1.1233
P5,tPad,Clipped,Quarter,0.7695
P5,tPad,Clipped,Quarter,0.1402
P5,tPad,Clipped,Quarter,0.7515
P5,tPad,Clipped,Quarter,0.0831
P5,tPad,Clipped,Quarter,4.229
P5,tPad,Clipped,Quarter,2.8119
P5,tPad,Clipped,Quarter,0.0575
P5,tPad,Clipped,Quarter,0.3872
P5,tPad,Clipped,Quarter,0.2309
P5,tPad,Clipped,ThreeQuarters,0.8441
P5,tPad,Clipped,ThreeQuarters,0.3621
P5,tPad,Clipped,ThreeQuarters,0.7558
P5,tPad,Clipped,ThreeQuarters,1.052
P5,tPad,Clipped,ThreeQuarters,0.115
P5,tPad,Clipped,ThreeQuarters,1.2747
P5,tPad,Clipped,ThreeQuarters,1.8978
P5,tPad,Clipped,ThreeQuarters,0.0428
P5,tPad,Clipped,ThreeQuarters,0.7476
P5,tPad,Clipped,Half,0.3471
P5,tPad,Clipped,Half,0.0276
P5,tPad,Clipped,Half,0.1255
P5,tPad,Clipped,Half,3.0308
P5,tPad,Clipped,Half,0.3672
P5,tPad,Clipped,Half,0.3275
P5,tPad,Clipped,Half,0.5136
P5,tPad,Clipped,Half,0.591
P5,tPad,Clipped,Half,0.6436
P6,Normal,Clipped,ThreeQuarters,0.6184
P6,Normal,Clipped,ThreeQuarters,0.2814
P6,Normal,Clipped,ThreeQuarters,0.4274
P6,Normal,Clipped,ThreeQuarters,0.3911
P6,Normal,Clipped,ThreeQuarters,0.2837
P6,Normal,Clipped,ThreeQuarters,1.2199
P6,Normal,Clipped,ThreeQuarters,0.7459
P6,Normal,Clipped,ThreeQuarters,0.6259
