Participant,Device,Method,Size,Offset
P3,tPad,Clipped,Half,0.0895
P3,tPad,Normal,Half,0.0812
P3,tPad,Normal,Half,0.04
P3,tPad,Normal,Half,0.0909
P3,tPad,Normal,Half,0.0566
P3,tPad,Normal,Half,0.0956
P3,tPad,Normal,Half,0.0353
P3,tPad,Normal,Half,0.0399
P3,tPad,Normal,Half,0.0739
P3,tPad,Normal,Half,0.0756
P3,tPad,Clipped,Quarter,0.0173
P3,tPad,Clipped,Quarter,0.1125
P3,tPad,Clipped,Quarter,0.0623
P3,tPad,Clipped,Quarter,0.0795
P3,tPad,Clipped,Quarter,0.0568
P3,tPad,Clipped,Quarter,0.0552
P3,tPad,Clipped,Quarter,0.0352
P3,tPad,Clipped,Quarter,0.0648
P3,tPad,Clipped,Quarter,0.0568
P3,tPad,Normal,ThreeQuarters,0.0565
P3,tPad,Normal,ThreeQuarters,0.073
P3,tPad,Normal,ThreeQuarters,0.0905
P3,tPad,Normal,ThreeQuarters,0.0732
P3,tPad,Normal,ThreeQuarters,0.0962
P3,tPad,Normal,ThreeQuarters,0.0799
P3,tPad,Normal,ThreeQuarters,0.1126
P3,tPad,Normal,ThreeQuarters,0.0642
P3,tPad,Normal,ThreeQuarters,0.0558
P4,Normal,Clipped,Quarter,0.0263
P4,Normal,Clipped,Quarter,0.1413
P4,Normal,Clipped,Quarter,0.0916
P4,Normal,Clipped,Quarter,0.0195
P4,Normal,Clipped,Quarter,0
P4,Normal,Clipped,Quarter,0.1108
P4,Normal,Clipped,Quarter,0.0672
P4,Normal,Clipped,Quarter,0.1168
P4,Normal,Clipped,Quarter,0.1102
P4,Normal,Clipped,Half,0.0697
P4,Normal,Clipped,Half,0.1444
P4,Normal,Clipped,Half,0.0872
P4,Normal,Clipped,Half,0
P4,Normal,Clipped,Half,0.0774
P4,Normal,Clipped,Half,0.0996
P4,Normal,Clipped,Half,0.0127
P4,Normal,Clipped,Half,0.1238
P4,Normal,Clipped,Half,0.17
P4,Normal,Normal,ThreeQuarters,0.0838
P4,Normal,Normal,ThreeQuarters,0.0952
P4,Normal,Normal,ThreeQuarters,0.1716
P4,Normal,Normal,ThreeQuarters,0.642
P4,Normal,Normal,ThreeQuarters,0.11
P4,Normal,Normal,ThreeQuarters,0.2136
P4,Normal,Normal,ThreeQuarters,0.2561
P4,Normal,Normal,ThreeQuarters,0.1717
P4,Normal,Normal,ThreeQuarters,0.0948
P4,Normal,Clipped,ThreeQuarters,0.1711
P4,Normal,Clipped,ThreeQuarters,0.0412
P4,Normal,Clipped,ThreeQuarters,0.1832
P4,Normal,Clipped,ThreeQuarters,0.3716
P4,Normal,Clipped,ThreeQuarters,0.0819
P4,Normal,Clipped,ThreeQuarters,0.4822
P4,Normal,Clipped,ThreeQuarters,0.3521
P4,Normal,Clipped,ThreeQuarters,0.1212
P4,Normal,Clipped,ThreeQuarters,0.2589
P4,Normal,Normal,Half,0
P4,Normal,Normal,Half,0.0305
P4,Normal,Normal,Half,0.1465
P4,Normal,Normal,Half,0.1222
P4,Normal,Normal,Half,0.0674
P4,Normal,Normal,Half,0.1052
P4,Normal,Normal,Half,0.243
P4,Normal,Normal,Half,0.0966
P4,Normal,Normal,Half,0.1563
P4,tPad,Normal,Quarter,0.0392
P4,tPad,Normal,Quarter,0.0898
P4,tPad,Normal,Quarter,0.0907
P4,tPad,Normal,Quarter,0.0924
P4,tPad,Normal,Quarter,0.1103
P4,tPad,Normal,Quarter,0.1294
P4,tPad,Normal,Quarter,0.1036
P4,tPad,Normal,Quarter,0.0986
P4,tPad,Normal,Quarter,0.0648
P4,Normal,Normal,Quarter,0.122
P4,Normal,Normal,Quarter,0.1762
P4,Normal,Normal,Quarter,0.0701
P4,Normal,Normal,Quarter,0.053
P4,Normal,Normal,Quarter,0.0755
P4,Normal,Normal,Quarter,0.0566
P4,Normal,Normal,Quarter,0.0657
P4,Normal,Normal,Quarter,0.2179
P4,tPad,Normal,Half,0.1109
P4,tPad,Normal,Half,0.0805
P4,tPad,Normal,Half,0.1132
P4,tPad,Normal,Half,0.0508
P4,tPad,Normal,Half,0.0974
P4,tPad,Normal,Half,0.0723
P4,tPad,Normal,Half,0.0563
P4,tPad,Normal,Half,0.0648
P4,tPad,Normal,Half,0.0652
P4,tPad,Clipped,ThreeQuarters,0.0908
P4,tPad,Clipped,ThreeQuarters,0.1448
P4,tPad,Clipped,ThreeQuarters,0.1442
P4,tPad,Clipped,ThreeQuarters,0.1355
P4,tPad,Clipped,ThreeQuarters,0.1679
P4,tPad,Clipped,ThreeQuarters,0.1685
P4,tPad,Clipped,ThreeQuarters,0.1403
P4,tPad,Clipped,ThreeQuarters,0.0911
P4,tPad,Clipped,ThreeQuarters,0.1438
P4,tPad,Normal,ThreeQuarters,0.1271
P4,tPad,Normal,ThreeQuarters,0.0901
P4,tPad,Normal,ThreeQuarters,0.1368
P4,tPad,Normal,ThreeQuarters,0.115
P4,tPad,Normal,ThreeQuarters,0.1514
P4,tPad,Normal,ThreeQuarters,0.1134
P4,tPad,Normal,ThreeQuarters,0.0503
P4,tPad,Normal,ThreeQuarters,0.0905
P4,tPad,Normal,ThreeQuarters,0.064
P4,tPad,Clipped,Half,0.0959
P4,tPad,Clipped,Half,0.2088
P4,tPad,Clipped,Half,0.0738
P4,tPad,Clipped,Half,0.1791
P4,tPad,Clipped,Half,0.1816
P4,tPad,Clipped,Half,0.1344
P4,tPad,Clipped,Half,0.0356
P4,tPad,Clipped,Half,0.1058
P4,tPad,Clipped,Half,0.0709
P4,tPad,Clipped,Quarter,0.0355
P4,tPad,Clipped,Quarter,0.1419
P4,tPad,Clipped,Quarter,0.148
P4,tPad,Clipped,Quarter,0.0786
P4,tPad,Clipped,Quarter,0.0949
P4,tPad,Clipped,Quarter,0.1294
P4,tPad,Clipped,Quarter,0.0949
P4,tPad,Clipped,Quarter,0.089
P4,tPad,Clipped,Quarter,0.0634
P5,Normal,Clipped,Half,0.2454
P5,Normal,Clipped,Half,0.0395
P5,Normal,Clipped,Half,0.0739
P5,Normal,Clipped,Half,0.2254
P5,Normal,Clipped,Half,0.0567
P5,Normal,Clipped,Half,0.2879
P5,Normal,Clipped,Half,0.2468
P5,Normal,Clipped,Half,0.2583
P5,Normal,Clipped,Half,0.2118
P5,Normal,Clipped,ThreeQuarters,0.2183
P5,Normal,Clipped,ThreeQuarters,0.3142
P5,Normal,Clipped,ThreeQuarters,0.0855
P5,Normal,Clipped,ThreeQuarters,0.1318
P5,Normal,Clipped,ThreeQuarters,0.0948
P5,Normal,Clipped,ThreeQuarters,0.4399
P5,Normal,Clipped,ThreeQuarters,0.1412
P5,Normal,Clipped,ThreeQuarters,0.0559
P5,Normal,Clipped,ThreeQuarters,0.3267
P5,Normal,Clipped,Quarter,0
P5,Normal,Clipped,Quarter,0.0289
P5,Normal,Clipped,Quarter,0.1349
P5,Normal,Clipped,Quarter,0.0872
P5,Normal,Clipped,Quarter,0.1178
P5,Normal,Clipped,Quarter,0
P5,Normal,Clipped,Quarter,0.0946
P5,Normal,Clipped,Quarter,0.1327
P5,Normal,Clipped,Quarter,0.1606
P5,tPad,Normal,Quarter,0.1799
P5,tPad,Normal,Quarter,0.1026
P5,tPad,Normal,Quarter,0.0702
P5,tPad,Normal,Quarter,0.1376
P5,tPad,Normal,Quarter,0.0862
P5,tPad,Normal,Quarter,0.0983
P5,tPad,Normal,Quarter,0.0944
P5,tPad,Normal,Quarter,0.0817
P5,tPad,Normal,Quarter,0.0609
P5,Normal,Normal,ThreeQuarters,0.1046
P5,Normal,Normal,ThreeQuarters,0.3142
P5,Normal,Normal,ThreeQuarters,0.1205
P5,Normal,Normal,ThreeQuarters,0.0341
P5,Normal,Normal,ThreeQuarters,0.2673
P5,Normal,Normal,ThreeQuarters,0.1298
P5,Normal,Normal,ThreeQuarters,0.2491
