Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio,Damaged
P1,635134738840411158,Normal,Normal,Quarter,0,1,11662.6671,0.1010,0.3794,0.0000,0.0000,0
P1,635134738971888678,Normal,Normal,Quarter,0,2,8795.5031,0.1226,0.7690,0.0000,0.0000,0
P1,635134739196411520,Normal,Normal,Quarter,1,0,17871.0222,0.1955,0.0000,0.0000,0.0000,0
P1,635134739948874558,Normal,Normal,Quarter,1,1,9918.5673,0.0913,0.0000,0.0000,0.0000,0
P1,635134740141685586,Normal,Normal,Quarter,1,2,12659.7241,0.0682,0.0000,0.0000,0.0000,0
P1,635134740289814059,Normal,Normal,Quarter,2,0,10692.6116,0.0765,0.3924,0.0000,0.0000,0
P1,635134740468964305,Normal,Normal,Quarter,2,1,13679.7824,0.0985,0.7957,0.0000,0.0000,0
P1,635134740633083693,Normal,Normal,Quarter,2,2,12499.715,0.1147,0.9914,0.0000,0.0000,0
P2,635135607167902621,Normal,Normal,Half,0,0,12766.7303,0.1035,0.4357,0.0000,0.0000,0
P2,635135607403976123,Normal,Normal,Half,0,1,17074.9766,0.1130,0.1785,0.0000,0.0000,0
P2,635135607694932765,Normal,Normal,Half,0,2,23223.3283,0.2553,0.6228,0.0000,0.0000,0
P2,635135607841531150,Normal,Normal,Half,1,0,10891.623,0.0838,1.1829,0.0000,0.0000,0
P2,635135607994809917,Normal,Normal,Half,1,1,10347.5919,0.0492,1.2100,0.0000,0.0000,0
P2,635135608158529281,Normal,Normal,Half,1,2,13742.786,0.0292,0.2544,0.0000,0.0000,0
P2,635135608255974855,Normal,Normal,Half,2,0,6804.3892,0.0496,0.1813,0.0000,0.0000,0
P2,635135608416334027,Normal,Normal,Half,2,1,7052.4034,0.0692,0.1680,0.0000,0.0000,0
P2,635135608528730455,Normal,Normal,Half,2,2,7895.4516,0.0141,0.1910,0.0000,0.0000,0
P2,635135608786805216,Normal,Normal,ThreeQuarters,0,0,15462.8844,0.0979,0.5085,0.0000,0.0000,0
P2,635135608913692474,Normal,Normal,ThreeQuarters,0,1,7642.4371,0.0493,1.3532,0.0000,0.0000,0
P2,635135609072531559,Normal,Normal,ThreeQuarters,0,2,10899.6234,0.0981,0.7721,0.0000,0.0000,0
P2,635135609268282755,Normal,Normal,ThreeQuarters,1,0,15621.8935,0.0816,0.1623,0.0000,0.0000,0
P2,635135609419541407,Normal,Normal,ThreeQuarters,1,1,10637.6084,0.0317,0.7935,0.0000,0.0000,0
P2,635135609531527812,Normal,Normal,ThreeQuarters,1,2,8124.4647,0.0205,1.2766,0.0000,0.0000,0
P2,635135609658165055,Normal,Normal,ThreeQuarters,2,0,7063.404,0.1137,1.8262,0.0000,0.0000,0
P2,635135609815164035,Normal,Normal,ThreeQuarters,2,1,6830.3907,0.0919,0.3782,0.0000,0.0000,0
P2,635135609907759331,Normal,Normal,ThreeQuarters,2,2,6159.3523,0.0975,0.5768,0.0000,0.0000,0
P2,635135610166594136,Normal,Normal,Quarter,0,0,15922.9108,0.1012,0.2894,0.0000,0.0000,0
P2,635135610305682091,Normal,Normal,Quarter,0,1,8616.4928,0.0599,0.0000,0.0000,0.0000,0
P2,635135610432999373,Normal,Normal,Quarter,0,2,9479.5422,0.0461,0.4775,0.0000,0.0000,0
P2,635135610623550272,Normal,Normal,Quarter,1,0,15590.8917,0.1308,0.5846,0.0000,0.0000,0
P2,635135610780629257,Normal,Normal,Quarter,1,1,11390.6515,0.0376,0.2599,0.0000,0.0000,0
P2,635135610936878194,Normal,Normal,Quarter,1,2,8396.4803,0.0447,1.4441,0.0000,0.0000,0
