Participant,Device,Method,Size,TimeMillis,aligned(TimeMillis) for Device,aligned(TimeMillis) for Method,aligned(TimeMillis) for Device*Method,aligned(TimeMillis) for Size,aligned(TimeMillis) for Device*Size,aligned(TimeMillis) for Method*Size,aligned(TimeMillis) for Device*Method*Size,ART(TimeMillis) for Device,ART(TimeMillis) for Method,ART(TimeMillis) for Device*Method,ART(TimeMillis) for Size,ART(TimeMillis) for Device*Size,ART(TimeMillis) for Method*Size,ART(TimeMillis) for Device*Method*Size
P1,Normal,Clipped,ThreeQuarters,29851.7074,12847.425318838127467569091935,14491.699140364453734116319963,11716.512693179103667309101767,10529.227891371583858893503564,11742.552168639696456955340204,10621.083307953508496889389304,12312.668284560463712514292181,1117,1122,1115,1110,1118,1111,1119
P1,Normal,Clipped,ThreeQuarters,28575.6344,11571.352318838127467569091935,13215.626140364453734116319963,10440.439693179103667309101767,9253.154891371583858893503564,10466.479168639696456955340204,9345.010307953508496889389304,11036.595284560463712514292181,1107,1114,1106,1099,1107,1098,1115
P1,tPad,Clipped,Quarter,42731.4441,30897.240854310020680579056214,36245.168135734824104486690333,32175.167241925584672673355862,32213.499289330400265985772725,32104.201429758579939745702041,31925.594661604998047929165231,32100.847864464751905069518732,1164,1167,1165,1166,1165,1165,1165
P1,tPad,Clipped,Quarter,17102.9782,5268.774954310020680579056214,10616.702235734824104486690333,6546.701341925584672673355862,6585.033389330400265985772725,6475.735529758579939745702041,6297.128761604998047929165231,6472.381964464751905069518732,1017,1089,1056,1053,1058,1046,1061
P1,tPad,Clipped,Quarter,20782.1887,8947.985454310020680579056214,14295.912735734824104486690333,10225.911841925584672673355862,10264.243889330400265985772725,10154.946029758579939745702041,9976.339261604998047929165231,10151.592464464751905069518732,1078,1121,1103,1108,1103,1106,1103
P1,tPad,Clipped,Quarter,19095.0922,7260.888954310020680579056214,12608.816235734824104486690333,8538.815341925584672673355862,8577.147389330400265985772725,8467.849529758579939745702041,8289.242761604998047929165231,8464.495964464751905069518732,1056,1108,1086,1084,1088,1080,1086
P1,tPad,Clipped,Quarter,26202.4987,14368.295454310020680579056214,19716.222735734824104486690333,15646.221841925584672673355862,15684.553889330400265985772725,15575.256029758579939745702041,15396.649261604998047929165231,15571.902464464751905069518732,1128,1145,1139,1140,1140,1140,1138
P1,tPad,Clipped,Quarter,17178.9825,5344.779254310020680579056214,10692.706535734824104486690333,6622.705641925584672673355862,6661.037689330400265985772725,6551.739829758579939745702041,6373.133061604998047929165231,6548.386264464751905069518732,1019,1091,1059,1056,1060,1048,1063
P1,tPad,Clipped,Quarter,18019.0307,6184.827454310020680579056214,11532.754735734824104486690333,7462.753841925584672673355862,7501.085889330400265985772725,7391.788029758579939745702041,7213.181261604998047929165231,7388.434464464751905069518732,1045,1101,1074,1072,1077,1066,1075
P1,tPad,Clipped,Quarter,17923.0252,6088.821954310020680579056214,11436.749235734824104486690333,7366.748341925584672673355862,7405.080389330400265985772725,7295.782529758579939745702041,7117.175761604998047929165231,7292.428964464751905069518732,1040,1098,1072,1069,1075,1065,1074
P1,tPad,Clipped,Quarter,27395.5669,15561.363654310020680579056214,20909.290935734824104486690333,16839.290041925584672673355862,16877.622089330400265985772725,16768.324229758579939745702041,16589.717461604998047929165231,16764.970664464751905069518732,1134,1148,1143,1143,1143,1144,1143
P1,tPad,Normal,Quarter,10967.6273,2119.7631622076241664178361707,217.8819316252036481170079576,4390.1780487765818729773269287,3436.0215972280037518245526817,3326.7237376561834255844819977,4945.2279071306833887285741497,4797.2401398905002778521609917,914,784,1011,983,987,1021,1022
P1,tPad,Normal,Quarter,11091.6344,2243.7702622076241664178361707,341.8890316252036481170079576,4514.1851487765818729773269287,3560.0286972280037518245526817,3450.7308376561834255844819977,5069.2350071306833887285741497,4921.2472398905002778521609917,923,789,1017,989,992,1024,1024
P1,tPad,Normal,Quarter,11667.6673,2819.8031622076241664178361707,917.9219316252036481170079576,5090.2180487765818729773269287,4136.0615972280037518245526817,4026.7637376561834255844819977,5645.2679071306833887285741497,5497.2801398905002778521609917,944,825,1033,1006,1008,1037,1035
P1,tPad,Normal,Quarter,14763.8445,5915.9803622076241664178361707,4014.0991316252036481170079576,8186.395248776581872977326929,7232.2387972280037518245526817,7122.9409376561834255844819977,8741.445107130683388728574150,8593.457339890500277852160992,1035,979,1081,1065,1071,1084,1089
P1,tPad,Normal,Quarter,11500.6578,2652.7936622076241664178361707,750.9124316252036481170079576,4923.2085487765818729773269287,3969.0520972280037518245526817,3859.7542376561834255844819977,5478.2584071306833887285741497,5330.2706398905002778521609917,935,816,1029,1003,1000,1034,1034
P1,tPad,Normal,Quarter,9035.5168,187.6526622076241664178361707,-1714.2285683747963518829920424,2458.0675487765818729773269287,1503.9110972280037518245526817,1394.6132376561834255844819977,3013.1174071306833887285741497,2865.1296398905002778521609917,796,666,957,911,894,982,973
