Participant,Device,Method,Size,MissRatio,aligned(MissRatio) for Device,aligned(MissRatio) for Method,aligned(MissRatio) for Device*Method,aligned(MissRatio) for Size,aligned(MissRatio) for Device*Size,aligned(MissRatio) for Method*Size,aligned(MissRatio) for Device*Method*Size,ART(MissRatio) for Device,ART(MissRatio) for Method,ART(MissRatio) for Device*Method,ART(MissRatio) for Size,ART(MissRatio) for Device*Size,ART(MissRatio) for Method*Size,ART(MissRatio) for Device*Method*Size
P1,Normal,Clipped,Quarter,0,-0.0011596626160077936727682921,0.0016158391921604820977768126,-0.0010000125671968012965325596,-0.0028152355365815894434833697,-0.0008996342584368640231209309,-0.0026601035318521081462244503,-0.0010395047876075528652857273,519.5,1089.5,519.5,513.5,519.5,513.5,518.5
P1,Normal,Clipped,Quarter,0,-0.0011596626160077936727682921,0.0016158391921604820977768126,-0.0010000125671968012965325596,-0.0028152355365815894434833697,-0.0008996342584368640231209309,-0.0026601035318521081462244503,-0.0010395047876075528652857273,519.5,1089.5,519.5,513.5,519.5,513.5,518.5
P1,Normal,Clipped,Quarter,0,-0.0011596626160077936727682921,0.0016158391921604820977768126,-0.0010000125671968012965325596,-0.0028152355365815894434833697,-0.0008996342584368640231209309,-0.0026601035318521081462244503,-0.0010395047876075528652857273,519.5,1089.5,519.5,513.5,519.5,513.5,518.5
P1,Normal,Clipped,Quarter,0.0003,-0.0008596626160077936727682921,0.0019158391921604820977768126,-0.0007000125671968012965325596,-0.0025152355365815894434833697,-0.0005996342584368640231209309,-0.0023601035318521081462244503,-0.0007395047876075528652857273,566,1137,566,563,567,563,566
P1,Normal,Clipped,Quarter,0,-0.0011596626160077936727682921,0.0016158391921604820977768126,-0.0010000125671968012965325596,-0.0028152355365815894434833697,-0.0008996342584368640231209309,-0.0026601035318521081462244503,-0.0010395047876075528652857273,519.5,1089.5,519.5,513.5,519.5,513.5,518.5
P1,Normal,Clipped,Quarter,0.0005,-0.0006596626160077936727682921,0.0021158391921604820977768126,-0.0005000125671968012965325596,-0.0023152355365815894434833697,-0.0003996342584368640231209309,-0.0021601035318521081462244503,-0.0005395047876075528652857273,567,1139,568,566,748,566,661
P1,Normal,Clipped,Quarter,0,-0.0011596626160077936727682921,0.0016158391921604820977768126,-0.0010000125671968012965325596,-0.0028152355365815894434833697,-0.0008996342584368640231209309,-0.0026601035318521081462244503,-0.0010395047876075528652857273,519.5,1089.5,519.5,513.5,519.5,513.5,518.5
P1,Normal,Clipped,Quarter,0,-0.0011596626160077936727682921,0.0016158391921604820977768126,-0.0010000125671968012965325596,-0.0028152355365815894434833697,-0.0008996342584368640231209309,-0.0026601035318521081462244503,-0.0010395047876075528652857273,519.5,1089.5,519.5,513.5,519.5,513.5,518.5
P1,Normal,Clipped,Quarter,0.0071,0.0059403373839922063272317079,0.0087158391921604820977768126,0.0060999874328031987034674404,0.0042847644634184105565166303,0.0062003657415631359768790691,0.0044398964681478918537755497,0.0060604952123924471347142727,1144,1145,1145,1144,1144,1144,1144
P1,tPad,Clipped,ThreeQuarters,0.0016,-0.0035303205489753713103966911,-0.0013145480132267232894285746,-0.0037128322677068571365376382,-0.0031593218015299233573345249,-0.0043124607083803541304351327,-0.0034420090689825328328710260,-0.0044691449290436976158672530,372,940,371,466,368,464,368
