Participant,Device,Method,Size,TimeMillis
P2,tPad,Normal,Quarter,3129.179
P2,tPad,Normal,Quarter,4719.27
P2,tPad,Normal,Quarter,3611.2065
P2,tPad,Normal,Quarter,4936.2824
P2,tPad,Normal,Quarter,5128.2933
P2,tPad,Normal,Quarter,4735.2708
P2,tPad,Normal,Quarter,4696.2686
P2,tPad,Normal,Quarter,4495.2572
P2,tPad,Normal,ThreeQuarters,7323.4189
P2,tPad,Normal,ThreeQuarters,5151.2946
P2,tPad,Normal,ThreeQuarters,5871.3358
P2,tPad,Normal,ThreeQuarters,5279.302
P2,tPad,Normal,ThreeQuarters,4491.2568
P2,tPad,Normal,ThreeQuarters,4200.2402
P2,tPad,Normal,ThreeQuarters,3355.1919
P2,tPad,Normal,ThreeQuarters,3168.1812
P2,tPad,Normal,ThreeQuarters,3008.1721
P2,tPad,Normal,Half,3935.2251
P2,tPad,Normal,Half,3384.1936
P2,tPad,Normal,Half,5467.3127
P2,tPad,Normal,Half,3496.2
P2,tPad,Normal,Half,3723.2129
P2,tPad,Normal,Half,4902.2804
P2,tPad,Normal,Half,4264.2439
P2,tPad,Normal,Half,4712.2695
P2,tPad,Normal,Half,3715.2125
P3,Normal,Normal,ThreeQuarters,7690.4399
P3,Normal,Normal,ThreeQuarters,6835.391
P3,Normal,Normal,ThreeQuarters,5288.3025
P3,Normal,Normal,ThreeQuarters,5921.3387
P3,Normal,Normal,ThreeQuarters,4912.281
P3,Normal,Normal,ThreeQuarters,7355.4207
P3,Normal,Normal,ThreeQuarters,5035.288
P3,Normal,Normal,ThreeQuarters,4744.2713
P3,Normal,Normal,ThreeQuarters,5407.3093
P3,Normal,Clipped,Quarter,21559.2332
P3,Normal,Clipped,Quarter,27895.5956
P3,Normal,Clipped,Quarter,32322.8488
P3,Normal,Clipped,Quarter,23704.3558
P3,Normal,Clipped,Quarter,17684.0114
P3,Normal,Clipped,Quarter,15363.8787
P3,Normal,Clipped,Quarter,12603.7208
P3,Normal,Clipped,Quarter,16099.9208
P3,Normal,Clipped,Quarter,16028.9168
P3,Normal,Normal,Half,6879.3935
P3,Normal,Normal,Half,7435.4253
P3,Normal,Normal,Half,4900.2802
P3,Normal,Normal,Half,8068.4614
P3,Normal,Normal,Half,4690.2683
P3,Normal,Normal,Half,5336.3052
P3,Normal,Normal,Half,7239.4141
P3,Normal,Normal,Half,6955.3978
P3,Normal,Normal,Half,8244.4716
P3,Normal,Clipped,Half,12287.7029
P3,Normal,Clipped,Half,17841.0204
P3,Normal,Clipped,Half,12957.7412
P3,Normal,Clipped,Half,19211.0989
P3,Normal,Clipped,Half,11527.6593
P3,Normal,Clipped,Half,17050.9753
P3,Normal,Clipped,Half,17510.0015
P3,Normal,Clipped,Half,20267.1592
P3,Normal,Clipped,Half,10663.6099
P3,Normal,Normal,Quarter,6667.3813
P3,Normal,Normal,Quarter,9146.5231
P3,Normal,Normal,Quarter,6640.3798
P3,Normal,Normal,Quarter,5782.3307
P3,Normal,Normal,Quarter,5571.3187
P3,Normal,Normal,Quarter,7015.4012
P3,Normal,Normal,Quarter,6823.3903
P3,Normal,Normal,Quarter,7411.4239
P3,Normal,Normal,Quarter,8298.4746
P3,Normal,Clipped,ThreeQuarters,15654.8954
P3,Normal,Clipped,ThreeQuarters,12247.7005
P3,Normal,Clipped,ThreeQuarters,20886.1946
P3,Normal,Clipped,ThreeQuarters,15814.9046
P3,Normal,Clipped,ThreeQuarters,9571.5474
P3,Normal,Clipped,ThreeQuarters,19468.1135
P3,Normal,Clipped,ThreeQuarters,11156.6381
P3,Normal,Clipped,ThreeQuarters,9327.5335
P3,Normal,Clipped,ThreeQuarters,11015.6301
P3,tPad,Clipped,ThreeQuarters,23527.3457
P3,tPad,Clipped,ThreeQuarters,12691.7259
P3,tPad,Clipped,ThreeQuarters,8739.4998
P3,tPad,Clipped,ThreeQuarters,13979.7996
P3,tPad,Clipped,ThreeQuarters,10391.5944
P3,tPad,Clipped,ThreeQuarters,13550.775
