Reading,xRead,yRead,zRead,xAng,yAng,zAng,x,y,z,direction
873,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
874,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
875,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
876,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
877,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
878,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
879,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
880,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
881,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
882,0.0428571428571,0.0285714285714,0.446428571429,0,-4,88,357.4,360,270,1.0
883,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
884,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
885,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
886,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
887,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
888,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
889,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
890,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
891,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
892,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
893,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
894,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
