Participant,Method,AppsNumber,Distance,Rechecks,aligned(Rechecks) for Method,aligned(Rechecks) for AppsNumber,aligned(Rechecks) for Method*AppsNumber,aligned(Rechecks) for Distance,aligned(Rechecks) for Method*Distance,aligned(Rechecks) for AppsNumber*Distance,aligned(Rechecks) for Method*AppsNumber*Distance,ART(Rechecks) for Method,ART(Rechecks) for AppsNumber,ART(Rechecks) for Method*AppsNumber,ART(Rechecks) for Distance,ART(Rechecks) for Method*Distance,ART(Rechecks) for AppsNumber*Distance,ART(Rechecks) for Method*AppsNumber*Distance
P1,Flipping,1,1,0,-0.1365740740740740740740740741,-0.6319444444444444444444444445,-0.6273148148148148148148148148,-0.4808844477962125020948550361,-0.4040361871244224185400655989,-0.4496711077593430534607005195,-0.4061489980607627666451195864,1664,252,252,454,561,454,489
P1,Flipping,1,3,0,0.1469017094017094017094017094,-0.3484686609686609686609686610,-0.3438390313390313390313390313,-0.1680303112265137581593277796,-0.0746586446977362837377729411,-0.2113599554588348944024395363,-0.4362644789303053770907731334,2006,702,702,784,1549,702,449
P1,Flipping,1,3,0,0.1469017094017094017094017094,-0.3484686609686609686609686610,-0.3438390313390313390313390313,-0.1680303112265137581593277796,-0.0746586446977362837377729411,-0.2113599554588348944024395363,-0.4362644789303053770907731334,2006,702,702,784,1549,702,449
P1,Flipping,1,3,0,0.1469017094017094017094017094,-0.3484686609686609686609686610,-0.3438390313390313390313390313,-0.1680303112265137581593277796,-0.0746586446977362837377729411,-0.2113599554588348944024395363,-0.4362644789303053770907731334,2006,702,702,784,1549,702,449
P1,Flipping,1,0,0,-0.0069444444444444444444444444,-0.5023148148148148148148148148,-0.4976851851851851851851851851,-0.3165118372078833363841601074,-0.4049052320352728632937787009,-0.3558900422835483938535402795,-0.2745447403251472583203727640,1866,605.5,555,656,510,558,638
P1,Flipping,1,0,0,-0.0069444444444444444444444444,-0.5023148148148148148148148148,-0.4976851851851851851851851851,-0.3165118372078833363841601074,-0.4049052320352728632937787009,-0.3558900422835483938535402795,-0.2745447403251472583203727640,1866,605.5,555,656,510,558,638
P1,Flipping,1,0,0,-0.0069444444444444444444444444,-0.5023148148148148148148148148,-0.4976851851851851851851851851,-0.3165118372078833363841601074,-0.4049052320352728632937787009,-0.3558900422835483938535402795,-0.2745447403251472583203727640,1866,605.5,555,656,510,558,638
P1,Flipping,1,1,0,-0.1365740740740740740740740741,-0.6319444444444444444444444445,-0.6273148148148148148148148148,-0.4808844477962125020948550361,-0.4040361871244224185400655989,-0.4496711077593430534607005195,-0.4061489980607627666451195864,1664,252,252,454,561,454,489
P1,Flipping,1,1,0,-0.1365740740740740740740740741,-0.6319444444444444444444444445,-0.6273148148148148148148148148,-0.4808844477962125020948550361,-0.4040361871244224185400655989,-0.4496711077593430534607005195,-0.4061489980607627666451195864,1664,252,252,454,561,454,489
P1,Flipping,1,1,0,-0.1365740740740740740740740741,-0.6319444444444444444444444445,-0.6273148148148148148148148148,-0.4808844477962125020948550361,-0.4040361871244224185400655989,-0.4496711077593430534607005195,-0.4061489980607627666451195864,1664,252,252,454,561,454,489
P1,Flipping,1,0,0,-0.0069444444444444444444444444,-0.5023148148148148148148148148,-0.4976851851851851851851851851,-0.3165118372078833363841601074,-0.4049052320352728632937787009,-0.3558900422835483938535402795,-0.2745447403251472583203727640,1866,605.5,555,656,510,558,638
P1,Flipping,1,0,0,-0.0069444444444444444444444444,-0.5023148148148148148148148148,-0.4976851851851851851851851851,-0.3165118372078833363841601074,-0.4049052320352728632937787009,-0.3558900422835483938535402795,-0.2745447403251472583203727640,1866,605.5,555,656,510,558,638
P1,Flipping,1,0,0,-0.0069444444444444444444444444,-0.5023148148148148148148148148,-0.4976851851851851851851851851,-0.3165118372078833363841601074,-0.4049052320352728632937787009,-0.3558900422835483938535402795,-0.2745447403251472583203727640,1866,605.5,555,656,510,558,638
P1,Flipping,3,1,2,1.3422619047619047619047619048,1.1536044973544973544973544974,1.1374007936507936507936507936,0.9979515310397663338839809428,1.0747997917115564174387703800,0.9936982581981971779384520415,1.0367250222250832453419712390,2425,2425,2425,2421,2425,2421,2412
P1,Flipping,3,1,0,-0.6577380952380952380952380952,-0.8463955026455026455026455026,-0.8625992063492063492063492064,-1.0020484689602336661160190572,-0.9252002082884435825612296200,-1.0063017418018028220615479585,-0.9632749777749167546580287610,91.5,91.5,91.5,74.5,91.5,74.5,38.5
P1,Flipping,3,1,0,-0.6577380952380952380952380952,-0.8463955026455026455026455026,-0.8625992063492063492063492064,-1.0020484689602336661160190572,-0.9252002082884435825612296200,-1.0063017418018028220615479585,-0.9632749777749167546580287610,91.5,91.5,91.5,74.5,91.5,74.5,38.5
P1,Flipping,3,3,0,-0.7106481481481481481481481481,-0.8993055555555555555555555555,-0.9155092592592592592592592593,-1.0255801687763713080168776371,-0.9322085022475938335953227986,-1.0515151895689870373414677212,-1.0462516949626033766018873985,48.5,48.5,48.5,48.5,65.5,31.5,12.5
P1,Flipping,3,3,1,0.2893518518518518518518518519,0.1006944444444444444444444445,0.0844907407407407407407407407,-0.0255801687763713080168776371,0.0677914977524061664046772014,-0.0515151895689870373414677212,-0.0462516949626033766018873985,2072.5,2005.5,1934.5,1924.5,2095.5,1637.5,1892.5
P1,Flipping,3,3,0,-0.7106481481481481481481481481,-0.8993055555555555555555555555,-0.9155092592592592592592592593,-1.0255801687763713080168776371,-0.9322085022475938335953227986,-1.0515151895689870373414677212,-1.0462516949626033766018873985,48.5,48.5,48.5,48.5,65.5,31.5,12.5
P1,Flipping,3,1,0,-0.6577380952380952380952380952,-0.8463955026455026455026455026,-0.8625992063492063492063492064,-1.0020484689602336661160190572,-0.9252002082884435825612296200,-1.0063017418018028220615479585,-0.9632749777749167546580287610,91.5,91.5,91.5,74.5,91.5,74.5,38.5
P1,Flipping,3,1,0,-0.6577380952380952380952380952,-0.8463955026455026455026455026,-0.8625992063492063492063492064,-1.0020484689602336661160190572,-0.9252002082884435825612296200,-1.0063017418018028220615479585,-0.9632749777749167546580287610,91.5,91.5,91.5,74.5,91.5,74.5,38.5
P1,Flipping,3,0,1,0.3263888888888888888888888889,0.1377314814814814814814814815,0.1215277777777777777777777777,0.0168214961254499969491732259,-0.0715718987019395299604453676,0.0027797583548367414020812544,0.1075261997772083471647464429,2094,2094,1997,2117,1578,2055,2131
P1,Flipping,3,3,0,-0.7106481481481481481481481481,-0.8993055555555555555555555555,-0.9155092592592592592592592593,-1.0255801687763713080168776371,-0.9322085022475938335953227986,-1.0515151895689870373414677212,-1.0462516949626033766018873985,48.5,48.5,48.5,48.5,65.5,31.5,12.5
P1,Flipping,3,0,2,1.3263888888888888888888888889,1.1377314814814814814814814815,1.1215277777777777777777777777,1.0168214961254499969491732259,0.9284281012980604700395546324,1.0027797583548367414020812544,1.1075261997772083471647464429,2420.5,2420.5,2419.5,2425.5,2396.5,2425.5,2422.5
P1,Flipping,3,3,0,-0.7106481481481481481481481481,-0.8993055555555555555555555555,-0.9155092592592592592592592593,-1.0255801687763713080168776371,-0.9322085022475938335953227986,-1.0515151895689870373414677212,-1.0462516949626033766018873985,48.5,48.5,48.5,48.5,65.5,31.5,12.5
P1,Flipping,3,3,0,-0.7106481481481481481481481481,-0.8993055555555555555555555555,-0.9155092592592592592592592593,-1.0255801687763713080168776371,-0.9322085022475938335953227986,-1.0515151895689870373414677212,-1.0462516949626033766018873985,48.5,48.5,48.5,48.5,65.5,31.5,12.5
P1,Flipping,3,3,0,-0.7106481481481481481481481481,-0.8993055555555555555555555555,-0.9155092592592592592592592593,-1.0255801687763713080168776371,-0.9322085022475938335953227986,-1.0515151895689870373414677212,-1.0462516949626033766018873985,48.5,48.5,48.5,48.5,65.5,31.5,12.5
P1,Flipping,3,1,5,4.3422619047619047619047619048,4.1536044973544973544973544974,4.1374007936507936507936507936,3.9979515310397663338839809428,4.0747997917115564174387703800,3.9936982581981971779384520415,4.0367250222250832453419712390,2574,2574,2574,2574,2574,2574,2574
P1,Flipping,3,2,0,-0.4187091503267973856209150327,-0.6073665577342047930283224401,-0.6235702614379084967320261439,-0.7531696978308231505162451454,-0.8159615657857345836885478830,-0.7044279447860941665724026115,-0.9061793536888513671966605693,345.5,327.5,284.5,180.5,137.5,243.5,79.5
P1,Flipping,3,2,0,-0.4187091503267973856209150327,-0.6073665577342047930283224401,-0.6235702614379084967320261439,-0.7531696978308231505162451454,-0.8159615657857345836885478830,-0.7044279447860941665724026115,-0.9061793536888513671966605693,345.5,327.5,284.5,180.5,137.5,243.5,79.5
P1,Flipping,3,2,1,0.5812908496732026143790849673,0.3926334422657952069716775599,0.3764297385620915032679738561,0.2468303021691768494837548546,0.1840384342142654163114521170,0.2955720552139058334275973885,0.0938206463111486328033394307,2232.5,2252.5,2234.5,2204.5,2157.5,2239.5,2106.5
P1,Flipping,2,0,5,4.6825532724505327245053272451,4.3874143835616438356164383562,4.3989884576357179096905124303,4.3729858796870938325656115821,4.2845924848597043056559929886,4.3811147729580793605527870158,4.2705407539207947488156642228,2580,2578,2578,2580,2580,2580,2576
P1,Flipping,2,0,0,-0.3174467275494672754946727549,-0.6125856164383561643835616438,-0.6010115423642820903094875697,-0.6270141203129061674343884179,-0.7154075151402956943440070114,-0.6188852270419206394472129842,-0.7294592460792052511843357772,1348,296,316,307,275,307,222
P1,Flipping,2,0,0,-0.3174467275494672754946727549,-0.6125856164383561643835616438,-0.6010115423642820903094875697,-0.6270141203129061674343884179,-0.7154075151402956943440070114,-0.6188852270419206394472129842,-0.7294592460792052511843357772,1348,296,316,307,275,307,222
P1,Flipping,2,2,0,-0.4083049886621315192743764172,-0.7034438775510204081632653061,-0.6918698034769463340891912320,-0.7427655361661572841697065299,-0.8055574041210687173420092675,-0.7666685152321798284531203786,-0.6483494363929146537842190016,480,141,159,204,161,184,348
P1,Flipping,2,2,0,-0.4083049886621315192743764172,-0.7034438775510204081632653061,-0.6918698034769463340891912320,-0.7427655361661572841697065299,-0.8055574041210687173420092675,-0.7666685152321798284531203786,-0.6483494363929146537842190016,480,141,159,204,161,184,348
P1,Flipping,2,2,0,-0.4083049886621315192743764172,-0.7034438775510204081632653061,-0.6918698034769463340891912320,-0.7427655361661572841697065299,-0.8055574041210687173420092675,-0.7666685152321798284531203786,-0.6483494363929146537842190016,480,141,159,204,161,184,348
P1,Flipping,2,2,1,0.5916950113378684807256235828,0.2965561224489795918367346939,0.3081301965230536659108087680,0.2572344638338427158302934701,0.1944425958789312826579907325,0.2333314847678201715468796214,0.3516505636070853462157809984,2259.5,2152.5,2174.5,2225.5,2178.5,2199.5,2294.5
P1,Flipping,2,2,0,-0.4083049886621315192743764172,-0.7034438775510204081632653061,-0.6918698034769463340891912320,-0.7427655361661572841697065299,-0.8055574041210687173420092675,-0.7666685152321798284531203786,-0.6483494363929146537842190016,480,141,159,204,161,184,348
P1,Flipping,2,2,0,-0.4083049886621315192743764172,-0.7034438775510204081632653061,-0.6918698034769463340891912320,-0.7427655361661572841697065299,-0.8055574041210687173420092675,-0.7666685152321798284531203786,-0.6483494363929146537842190016,480,141,159,204,161,184,348
P1,Flipping,2,0,0,-0.3174467275494672754946727549,-0.6125856164383561643835616438,-0.6010115423642820903094875697,-0.6270141203129061674343884179,-0.7154075151402956943440070114,-0.6188852270419206394472129842,-0.7294592460792052511843357772,1348,296,316,307,275,307,222
P1,Flipping,2,3,1,0.2566214470284237726098191215,-0.0385174418604651162790697674,-0.0269433677863910422049956933,-0.0583105735997993872589103675,0.0350610929289780871626444710,-0.0630137256834821874670850966,0.1177016215136488794668824316,2056.5,1508.5,1561.5,1784.5,2079.5,1621.5,2148.5
P1,Flipping,2,3,0,-0.7433785529715762273901808785,-1.0385174418604651162790697674,-1.0269433677863910422049956933,-1.0583105735997993872589103675,-0.9649389070710219128373555290,-1.0630137256834821874670850966,-0.8822983784863511205331175684,27,10,10,27,44,10,116
P1,Flipping,2,1,0,-0.3598856209150326797385620915,-0.6550245098039215686274509804,-0.6434504357298474945533769063,-0.7041959946371711077593430535,-0.6273477339653810242045536163,-0.6894672824320168694811755919,-0.7970717776364549636965399388,841.5,188.5,213.5,269.5,345.5,269.5,184.5
P1,Flipping,2,1,0,-0.3598856209150326797385620915,-0.6550245098039215686274509804,-0.6434504357298474945533769063,-0.7041959946371711077593430535,-0.6273477339653810242045536163,-0.6894672824320168694811755919,-0.7970717776364549636965399388,841.5,188.5,213.5,269.5,345.5,269.5,184.5
P1,Flipping,2,3,1,0.2566214470284237726098191215,-0.0385174418604651162790697674,-0.0269433677863910422049956933,-0.0583105735997993872589103675,0.0350610929289780871626444710,-0.0630137256834821874670850966,0.1177016215136488794668824316,2056.5,1508.5,1561.5,1784.5,2079.5,1621.5,2148.5
P1,Flipping,2,2,1,0.5916950113378684807256235828,0.2965561224489795918367346939,0.3081301965230536659108087680,0.2572344638338427158302934701,0.1944425958789312826579907325,0.2333314847678201715468796214,0.3516505636070853462157809984,2259.5,2152.5,2174.5,2225.5,2178.5,2199.5,2294.5
P1,Flipping,2,2,0,-0.4083049886621315192743764172,-0.7034438775510204081632653061,-0.6918698034769463340891912320,-0.7427655361661572841697065299,-0.8055574041210687173420092675,-0.7666685152321798284531203786,-0.6483494363929146537842190016,480,141,159,204,161,184,348
P1,Flipping,2,2,0,-0.4083049886621315192743764172,-0.7034438775510204081632653061,-0.6918698034769463340891912320,-0.7427655361661572841697065299,-0.8055574041210687173420092675,-0.7666685152321798284531203786,-0.6483494363929146537842190016,480,141,159,204,161,184,348
P2,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P2,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P2,Home,2,3,1,0.5784069325735992402659069326,0.8774038461538461538461538462,0.8025581671415004748338081672,0.8576107144145118828663132461,0.8534036927381066518660426246,0.8529075623308290826581385170,0.8958358652743871404442634472,2218.5,2373.5,2370.5,2358.5,2354.5,2356.5,2369.5
P2,Home,2,2,0,-0.3570326278659611992945326279,-0.0580357142857142857142857143,-0.1328813932980599647266313933,-0.0973573729008511617207269381,-0.0486679327686492643340062328,-0.1212603519668737060041407868,-0.0792751889244724287876868889,947.5,1422.5,1371.5,1258.5,1874.5,1013.5,1604.5
P2,Home,2,2,0,-0.3570326278659611992945326279,-0.0580357142857142857142857143,-0.1328813932980599647266313933,-0.0973573729008511617207269381,-0.0486679327686492643340062328,-0.1212603519668737060041407868,-0.0792751889244724287876868889,947.5,1422.5,1371.5,1258.5,1874.5,1013.5,1604.5
P2,Home,2,2,0,-0.3570326278659611992945326279,-0.0580357142857142857142857143,-0.1328813932980599647266313933,-0.0973573729008511617207269381,-0.0486679327686492643340062328,-0.1212603519668737060041407868,-0.0792751889244724287876868889,947.5,1422.5,1371.5,1258.5,1874.5,1013.5,1604.5
P2,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P2,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P2,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P2,Home,2,2,0,-0.3570326278659611992945326279,-0.0580357142857142857142857143,-0.1328813932980599647266313933,-0.0973573729008511617207269381,-0.0486679327686492643340062328,-0.1212603519668737060041407868,-0.0792751889244724287876868889,947.5,1422.5,1371.5,1258.5,1874.5,1013.5,1604.5
P2,Home,2,2,0,-0.3570326278659611992945326279,-0.0580357142857142857142857143,-0.1328813932980599647266313933,-0.0973573729008511617207269381,-0.0486679327686492643340062328,-0.1212603519668737060041407868,-0.0792751889244724287876868889,947.5,1422.5,1371.5,1258.5,1874.5,1013.5,1604.5
P2,Home,2,2,0,-0.3570326278659611992945326279,-0.0580357142857142857142857143,-0.1328813932980599647266313933,-0.0973573729008511617207269381,-0.0486679327686492643340062328,-0.1212603519668737060041407868,-0.0792751889244724287876868889,947.5,1422.5,1371.5,1258.5,1874.5,1013.5,1604.5
P2,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P2,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P2,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P2,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P2,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P2,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P2,Home,3,0,0,-0.3697877299067775258251448728,0.0356906651549508692365835223,-0.2335994583018392542202066012,-0.0852193202010806152957247333,-0.1313402665966014204815491392,-0.0992610579716938708428167048,-0.0875240264324381523368255225,694,1838,1016,1361,1025,1458,1418
P2,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P2,Home,3,3,1,0.6427008476137829371660217431,1.0481792426755113322277501382,0.7788891192187212087709600147,0.9219046294546955797664280566,0.9176976077782903487661574351,0.8959696086620798504418379725,0.8985492154648015510421602837,2327.5,2408.5,2368.5,2388.5,2378.5,2382.5,2371.5
P2,Home,3,1,0,-0.3315767008142894667717362753,0.0739016942474389282899921198,-0.1953884292093511951667980037,-0.0817512720672920923233814348,-0.0887649140325050473780563099,-0.0860045449088612482689103361,-0.0321908529156914938263422265,1135,1946,1208,1406,1260,1593,1982
P2,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P2,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P2,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P2,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P2,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P2,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P2,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P2,Home,3,1,0,-0.3315767008142894667717362753,0.0739016942474389282899921198,-0.1953884292093511951667980037,-0.0817512720672920923233814348,-0.0887649140325050473780563099,-0.0860045449088612482689103361,-0.0321908529156914938263422265,1135,1946,1208,1406,1260,1593,1982
P2,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P2,Home,3,0,0,-0.3697877299067775258251448728,0.0356906651549508692365835223,-0.2335994583018392542202066012,-0.0852193202010806152957247333,-0.1313402665966014204815491392,-0.0992610579716938708428167048,-0.0875240264324381523368255225,694,1838,1016,1361,1025,1458,1418
P2,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P2,Home,3,0,0,-0.3697877299067775258251448728,0.0356906651549508692365835223,-0.2335994583018392542202066012,-0.0852193202010806152957247333,-0.1313402665966014204815491392,-0.0992610579716938708428167048,-0.0875240264324381523368255225,694,1838,1016,1361,1025,1458,1418
P2,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P2,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P2,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P2,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P2,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P2,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P2,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P2,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P2,Home,1,3,0,-0.3566358024691358024691358025,-0.2578703703703703703703703704,0.0862654320987654320987654321,-0.0774320206282231598687294890,-0.0816390423046283908690001105,-0.1207616648605442961118412457,-0.0840561610954930420393180437,995,980,1965,1551,1366,1061,1504
P2,Home,1,3,0,-0.3566358024691358024691358025,-0.2578703703703703703703703704,0.0862654320987654320987654321,-0.0774320206282231598687294890,-0.0816390423046283908690001105,-0.1207616648605442961118412457,-0.0840561610954930420393180437,995,980,1965,1551,1366,1061,1504
P2,Home,1,3,0,-0.3566358024691358024691358025,-0.2578703703703703703703703704,0.0862654320987654320987654321,-0.0774320206282231598687294890,-0.0816390423046283908690001105,-0.1207616648605442961118412457,-0.0840561610954930420393180437,995,980,1965,1551,1366,1061,1504
P2,Home,1,2,0,-0.4126744498121309715512614064,-0.3139090177133655394524959743,0.0302267847557702630166398282,-0.1529991948470209339774557166,-0.1043097547148190365907350113,-0.1145494803103498755672668717,-0.1601464010456845499998081010,434.5,794.5,1661.5,833.5,1158.5,1256.5,937.5
P2,Home,1,2,0,-0.4126744498121309715512614064,-0.3139090177133655394524959743,0.0302267847557702630166398282,-0.1529991948470209339774557166,-0.1043097547148190365907350113,-0.1145494803103498755672668717,-0.1601464010456845499998081010,434.5,794.5,1661.5,833.5,1158.5,1256.5,937.5
P2,Home,1,2,0,-0.4126744498121309715512614064,-0.3139090177133655394524959743,0.0302267847557702630166398282,-0.1529991948470209339774557166,-0.1043097547148190365907350113,-0.1145494803103498755672668717,-0.1601464010456845499998081010,434.5,794.5,1661.5,833.5,1158.5,1256.5,937.5
P2,Home,1,2,0,-0.4126744498121309715512614064,-0.3139090177133655394524959743,0.0302267847557702630166398282,-0.1529991948470209339774557166,-0.1043097547148190365907350113,-0.1145494803103498755672668717,-0.1601464010456845499998081010,434.5,794.5,1661.5,833.5,1158.5,1256.5,937.5
P2,Home,1,2,0,-0.4126744498121309715512614064,-0.3139090177133655394524959743,0.0302267847557702630166398282,-0.1529991948470209339774557166,-0.1043097547148190365907350113,-0.1145494803103498755672668717,-0.1601464010456845499998081010,434.5,794.5,1661.5,833.5,1158.5,1256.5,937.5
P2,Home,1,2,0,-0.4126744498121309715512614064,-0.3139090177133655394524959743,0.0302267847557702630166398282,-0.1529991948470209339774557166,-0.1043097547148190365907350113,-0.1145494803103498755672668717,-0.1601464010456845499998081010,434.5,794.5,1661.5,833.5,1158.5,1256.5,937.5
P2,Home,1,3,0,-0.3566358024691358024691358025,-0.2578703703703703703703703704,0.0862654320987654320987654321,-0.0774320206282231598687294890,-0.0816390423046283908690001105,-0.1207616648605442961118412457,-0.0840561610954930420393180437,995,980,1965,1551,1366,1061,1504
P2,Home,1,3,1,0.6433641975308641975308641975,0.7421296296296296296296296296,1.0862654320987654320987654321,0.9225679793717768401312705110,0.9183609576953716091309998895,0.8792383351394557038881587543,0.9159438389045069579606819563,2331.5,2359.5,2415.5,2391.5,2381.5,2367.5,2386.5
