Participant,Method,AppsNumber,Distance,Rechecks,aligned(Rechecks) for Method,aligned(Rechecks) for AppsNumber,aligned(Rechecks) for Method*AppsNumber,aligned(Rechecks) for Distance,aligned(Rechecks) for Method*Distance,aligned(Rechecks) for AppsNumber*Distance,aligned(Rechecks) for Method*AppsNumber*Distance,ART(Rechecks) for Method,ART(Rechecks) for AppsNumber,ART(Rechecks) for Method*AppsNumber,ART(Rechecks) for Distance,ART(Rechecks) for Method*Distance,ART(Rechecks) for AppsNumber*Distance,ART(Rechecks) for Method*AppsNumber*Distance
P1,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P1,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P1,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P1,Home,2,2,0,-0.3570326278659611992945326279,-0.0580357142857142857142857143,-0.1328813932980599647266313933,-0.0973573729008511617207269381,-0.0486679327686492643340062328,-0.1212603519668737060041407868,-0.0792751889244724287876868889,947.5,1422.5,1371.5,1258.5,1874.5,1013.5,1604.5
P1,Home,2,2,0,-0.3570326278659611992945326279,-0.0580357142857142857142857143,-0.1328813932980599647266313933,-0.0973573729008511617207269381,-0.0486679327686492643340062328,-0.1212603519668737060041407868,-0.0792751889244724287876868889,947.5,1422.5,1371.5,1258.5,1874.5,1013.5,1604.5
P1,Home,2,0,0,-0.3085632401108591584782060973,-0.0095663265306122448979591837,-0.0844120055429579239103048627,-0.0239948304051622479487859578,-0.0701157768006830531346103637,-0.0158659371341767199616105241,-0.0911761389555184173525744092,1393,1538,1475,1958,1613,1997,1372
P1,Home,2,3,2,1.5784069325735992402659069326,1.8774038461538461538461538462,1.8025581671415004748338081672,1.8576107144145118828663132461,1.8534036927381066518660426246,1.8529075623308290826581385170,1.8958358652743871404442634472,2445,2492,2498,2492,2489,2488,2499
P1,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P1,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P1,Home,2,0,0,-0.3085632401108591584782060973,-0.0095663265306122448979591837,-0.0844120055429579239103048627,-0.0239948304051622479487859578,-0.0701157768006830531346103637,-0.0158659371341767199616105241,-0.0911761389555184173525744092,1393,1538,1475,1958,1613,1997,1372
P1,Home,2,0,0,-0.3085632401108591584782060973,-0.0095663265306122448979591837,-0.0844120055429579239103048627,-0.0239948304051622479487859578,-0.0701157768006830531346103637,-0.0158659371341767199616105241,-0.0911761389555184173525744092,1393,1538,1475,1958,1613,1997,1372
P1,Home,2,0,0,-0.3085632401108591584782060973,-0.0095663265306122448979591837,-0.0844120055429579239103048627,-0.0239948304051622479487859578,-0.0701157768006830531346103637,-0.0158659371341767199616105241,-0.0911761389555184173525744092,1393,1538,1475,1958,1613,1997,1372
P1,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P1,Home,2,3,0,-0.4215930674264007597340930674,-0.1225961538461538461538461538,-0.1974418328584995251661918328,-0.1423892855854881171336867539,-0.1465963072618933481339573754,-0.1470924376691709173418614830,-0.1041641347256128595557365528,312,1280,1162,983,889,868,1195
P1,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P1,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
